[Pallet Barode, Fruit Size, Origin, Comodity, Grower, Container, TempTale, Vessel, Shipping Line, Loading Port, Destination Port]
1098273,CR09      ,CMA CGM COSTA RICA S.A.,División PIÑA                                    ,Piñales del Caribe GLN: 7449305400000,TEMU9464311         ,jdv8c01g90          ,FORT DESAIX                             ,CMA-W25-CFUK-LON    ,Puerto de Salida LIMON / Puerto Llegada LONDON GATE,Puerto de Salida LIMON / Puerto Llegada LONDON GATE
1097946,CR09      ,CMA CGM COSTA RICA S.A.,División PIÑA                                    ,Piñales del Caribe GLN: 7449305400000,TEMU9464311         ,jdv8c01g90          ,FORT DESAIX                             ,CMA-W25-CFUK-LON    ,Puerto de Salida LIMON / Puerto Llegada LONDON GATE,Puerto de Salida LIMON / Puerto Llegada LONDON GATE
1098118,CR09      ,CMA CGM COSTA RICA S.A.,División PIÑA                                    ,Piñales del Caribe GLN: 7449305400000,TEMU9464311         ,jdv8c01g90          ,FORT DESAIX                             ,CMA-W25-CFUK-LON    ,Puerto de Salida LIMON / Puerto Llegada LONDON GATE,Puerto de Salida LIMON / Puerto Llegada LONDON GATE
1098107,CR09      ,CMA CGM COSTA RICA S.A.,División PIÑA                                    ,Piñales del Caribe GLN: 7449305400000,TEMU9464311         ,jdv8c01g90          ,FORT DESAIX                             ,CMA-W25-CFUK-LON    ,Puerto de Salida LIMON / Puerto Llegada LONDON GATE,Puerto de Salida LIMON / Puerto Llegada LONDON GATE
1098304,CR09      ,CMA CGM COSTA RICA S.A.,División PIÑA                                    ,Piñales del Caribe GLN: 7449305400000,TEMU9464311         ,jdv8c01g90          ,FORT DESAIX                             ,CMA-W25-CFUK-LON    ,Puerto de Salida LIMON / Puerto Llegada LONDON GATE,Puerto de Salida LIMON / Puerto Llegada LONDON GATE
1097940,CR09      ,CMA CGM COSTA RICA S.A.,División PIÑA                                    ,Piñales del Caribe GLN: 7449305400000,TEMU9464311         ,jdv8c01g90          ,FORT DESAIX                             ,CMA-W25-CFUK-LON    ,Puerto de Salida LIMON / Puerto Llegada LONDON GATE,Puerto de Salida LIMON / Puerto Llegada LONDON GATE
1098072,CR09      ,CMA CGM COSTA RICA S.A.,División PIÑA                                    ,Piñales del Caribe GLN: 7449305400000,TEMU9464311         ,jdv8c01g90          ,FORT DESAIX                             ,CMA-W25-CFUK-LON    ,Puerto de Salida LIMON / Puerto Llegada LONDON GATE,Puerto de Salida LIMON / Puerto Llegada LONDON GATE
1098291,CR09      ,CMA CGM COSTA RICA S.A.,División PIÑA                                    ,Piñales del Caribe GLN: 7449305400000,TEMU9464311         ,jdv8c01g90          ,FORT DESAIX                             ,CMA-W25-CFUK-LON    ,Puerto de Salida LIMON / Puerto Llegada LONDON GATE,Puerto de Salida LIMON / Puerto Llegada LONDON GATE
1098093,CR09      ,CMA CGM COSTA RICA S.A.,División PIÑA                                    ,Piñales del Caribe GLN: 7449305400000,TEMU9464311         ,jdv8c01g90          ,FORT DESAIX                             ,CMA-W25-CFUK-LON    ,Puerto de Salida LIMON / Puerto Llegada LONDON GATE,Puerto de Salida LIMON / Puerto Llegada LONDON GATE
1098280,CR09      ,CMA CGM COSTA RICA S.A.,División PIÑA                                    ,Piñales del Caribe GLN: 7449305400000,TEMU9464311         ,jdv8c01g90          ,FORT DESAIX                             ,CMA-W25-CFUK-LON    ,Puerto de Salida LIMON / Puerto Llegada LONDON GATE,Puerto de Salida LIMON / Puerto Llegada LONDON GATE
1098091,CR09      ,CMA CGM COSTA RICA S.A.,División PIÑA                                    ,Piñales del Caribe GLN: 7449305400000,TEMU9464311         ,jdv8c01g90          ,FORT DESAIX                             ,CMA-W25-CFUK-LON    ,Puerto de Salida LIMON / Puerto Llegada LONDON GATE,Puerto de Salida LIMON / Puerto Llegada LONDON GATE
